Team,1st Group,2nd Group,8th Finals,4th Finals,Semi Finals,Final,Winner,Third
argentina,0.77,0.16,0.93,0.7,0.52,0.25,0.16,0
australia,0.08,0.42,0.5,0.13,0.04,0.01,0.0,0
belgium,0.47,0.24,0.71,0.45,0.31,0.22,0.11,0.31
brazil,0.59,0.22,0.81,0.63,0.4,0.22,0.12,0.4
cameroon,0.09,0.26,0.35,0.22,0.09,0.04,0.02,0.09
canada,0.09,0.15,0.24,0.08,0.05,0.02,0.0,0.05
costa-rica,0.06,0.12,0.18,0.04,0.01,0.01,0.0,0.01
croatia,0.12,0.27,0.39,0.14,0.04,0.01,0.0,0.04
denmark,0.16,0.4,0.56,0.11,0.03,0.01,0.01,0
ecuador,0.07,0.2,0.27,0.04,0.01,0.01,0.0,0
england,0.8,0.12,0.92,0.68,0.37,0.21,0.12,0
france,0.76,0.17,0.93,0.71,0.48,0.27,0.18,0
germany,0.49,0.32,0.81,0.51,0.33,0.21,0.1,0.33
ghana,0.04,0.29,0.33,0.02,0.01,0.0,0.0,0.01
iran,0.06,0.38,0.44,0.18,0.03,0.02,0.0,0
japan,0.09,0.24,0.33,0.12,0.05,0.03,0.03,0.05
mexico,0.11,0.38,0.49,0.14,0.07,0.03,0.0,0
morocco,0.32,0.34,0.66,0.35,0.1,0.06,0.02,0.1
netherlands,0.52,0.4,0.92,0.52,0.23,0.08,0.04,0
poland,0.12,0.36,0.48,0.21,0.1,0.04,0.01,0
portugal,0.8,0.13,0.93,0.46,0.22,0.06,0.02,0.22
qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
saudi-arabia,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0
senegal,0.41,0.4,0.81,0.36,0.1,0.06,0.01,0
serbia,0.25,0.28,0.53,0.36,0.16,0.05,0.02,0.16
south-korea,0.1,0.31,0.41,0.1,0.04,0.01,0.0,0.04
spain,0.36,0.32,0.68,0.31,0.08,0.03,0.02,0.08
switzerland,0.07,0.24,0.31,0.16,0.09,0.02,0.0,0.09
tunisia,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0
uruguay,0.06,0.27,0.33,0.05,0.02,0.01,0.01,0.02
usa,0.11,0.42,0.53,0.2,0.02,0.01,0.0,0
wales,0.03,0.08,0.11,0.02,0.0,0.0,0.0,0
